,current_supply_air_temp,current_return_air_temp,current_outdoor_temp,current_setpoint,previous_sat_control_signal,is_anomaly_detected,return_air_temp_error,reward,episode,step,time
0,[75.92 75.71 75.71 ... 66.88 66.99 66.99],65.49091993147829,50.49,68,75.0,False,-2.509080068521712,-4.524728871179882,0,1,60.0
1,[75.92 75.71 75.71 ... 66.88 66.99 66.99],66.08295663989158,50.48,68,75.0,False,-1.9170433601084227,-5.698160137043423,0,2,120.0
2,[75.92 75.71 75.71 ... 66.88 66.99 66.99],67.57724114175004,50.42,68,75.0,False,-0.4227588582499635,-4.514086720216845,0,3,180.0
3,[75.92 75.71 75.71 ... 66.88 66.99 66.99],68.35518623586347,50.43,68,75.0,False,0.35518623586347076,-1.5255177164999272,0,4,240.0
4,[75.92 75.71 75.71 ... 66.88 66.99 66.99],67.50416505199264,50.42,68,75.0,False,-0.4958349480073565,-1.3903724717269417,0,5,300.0
5,[75.92 75.71 75.71 ... 66.88 66.99 66.99],67.20712468702429,50.41,68,75.0,False,-0.7928753129757098,-1.6716698960147132,0,6,360.0
6,[75.92 75.71 75.71 ... 66.88 66.99 66.99],65.99029837514597,50.4,68,75.0,False,-2.0097016248540314,-2.2657506259514197,0,7,420.0
7,[75.92 75.71 75.71 ... 66.88 66.99 66.99],66.35642506499512,50.36,68,75.0,False,-1.643574935004878,-4.6994032497080624,0,8,480.0
8,[75.92 75.71 75.71 ... 66.88 66.99 66.99],67.86180177547223,50.36,68,75.0,False,-0.13819822452776975,-3.9671498700097563,0,9,540.0
9,[75.92 75.71 75.71 ... 66.88 66.99 66.99],68.48878005958359,50.36,68,75.0,False,0.48878005958358983,-0.9563964490555396,0,10,600.0
10,[75.92 75.71 75.71 ... 66.88 66.99 66.99],69.43634878833035,50.37,68,75.0,False,1.4363487883303492,-1.6575601191671798,0,11,660.0
11,[75.92 75.71 75.71 ... 66.88 66.99 66.99],72.09006477691557,50.42,68,75.0,False,4.090064776915568,-3.5526975766606985,0,12,720.0
12,[75.92 75.71 75.71 ... 66.88 66.99 66.99],73.80287909553236,50.45,68,75.0,False,5.8028790955323615,-8.860129553831136,0,13,780.0
13,[75.92 75.71 75.71 ... 66.88 66.99 66.99],74.18902653832356,50.38,68,75.0,True,6.18902653832356,-12.285758191064723,0,14,840.0
14,[75.92 75.71 75.71 ... 66.88 66.99 66.99],74.25077634163937,50.43,68,75.0,True,6.250776341639366,-13.05805307664712,0,15,900.0
